  time (sec)        Y (nA)
0.2448979592	0.8918032787
0.3673469388	0.8918032787
1.020408163	0.8918032787
1.06122449	0.8813114754
1.081632653	0.6190163934
1.102040816	0.4354098361
1.12244898	0.2937704918
1.224489796	0.3095081967
1.265306122	0.3304918033
1.346938776	0.3567213115
1.428571429	0.3829508197
1.632653061	0.4354098361
1.795918367	0.4616393443
1.918367347	0.4826229508
2.040816327	0.5245901639
2.102040816	0.582295082
2.163265306	0.6347540984
2.204081633	0.6819672131
2.244897959	0.7554098361
2.367346939	0.828852459
2.510204082	0.8708196721
2.693877551	0.8918032787
2.857142857	0.8918032787
4	        0.8918032787




